4.829745900745708864e-01,7.813926181840279428e-01,6.817473755547104330e-01,1.607767124556844784e-01,8.493183307367585533e-01,8.814059959552681400e-01,5.215476687295605984e-01,7.546540702564643599e-01,2.447138962530561457e-01,9.583685747518737585e-01
2.733340855069921749e-01,1.247819949617495483e-01,8.122448085440991949e-01,9.619144581512080183e-01,8.050172000217713231e-02,5.125462435728040944e-01,1.388600880233772372e-01,1.686423451000121088e-01,3.130555410426377749e-01,6.941537367562606864e-01
9.287943063956015655e-01,2.711740079754285659e-01,5.292556491202876634e-01,8.605598624991647183e-01,2.067815374938597114e-02,9.081460929819902272e-01,7.220976412224110463e-01,1.850859611858854670e-01,8.663506204696308499e-01,5.084213058768899396e-01
4.885482464712365136e-02,5.221841522257745227e-01,8.897409422423533387e-01,3.148338040261878246e-01,7.987889002582648779e-02,8.680554490368859177e-01,6.414712382481001507e-01,6.066428197511810616e-01,2.584644061737737530e-01,7.926306704747465570e-02
9.058215988492294146e-01,9.230405339709040202e-01,2.310526136895056093e-01,3.778980268053745983e-01,4.007131574720077527e-01,4.060038360430783672e-02,1.009110974975052644e-01,4.077178796723522347e-01,9.714377888779616166e-01,7.275700071682930092e-01
2.115530191842344976e-01,7.357310901961395810e-01,3.457628455733837702e-01,9.048425670799143949e-01,6.734905429498979634e-01,1.453284447044650152e-01,1.220506552185387505e-01,7.331637706246291186e-01,5.295245623816539071e-01,7.979530222823285612e-01
1.820605949280712232e-01,3.170902055063467562e-01,8.047530666268860600e-01,1.479466958375463825e-02,5.959098711543369120e-01,9.985324021138362038e-01,7.902459919165003566e-01,3.086214644016422870e-01,5.562988609203306511e-01,5.973137405628224927e-01
7.650315141178344325e-01,3.241090041923858633e-01,2.385508143112504975e-01,5.251553027846631583e-01,1.248826741587052563e-01,6.151103988959231161e-01,4.483937237313135316e-01,7.580115221915795232e-01,8.360165962102863446e-01,2.938901666722188999e-01
3.419466935461853430e-01,3.540211575567980273e-01,9.490028635153802128e-03,8.357297793969670208e-01,5.896828510905829379e-01,5.175225084359811323e-01,7.697260898920860184e-01,2.965050186028421186e-01,6.606814513195213845e-02,4.508209945519366935e-01
4.785514567156053944e-01,4.670052911297605802e-01,4.986103674772484062e-01,8.168249584515228090e-01,2.365592493320288481e-01,6.148106854505062113e-01,4.473612323220820669e-02,6.131785009797435793e-01,9.970642160462900305e-01,1.433055838548065175e-01
5.720642668998644487e-01,5.882531671626873848e-01,7.771397096753964728e-01,3.185383873308096359e-01,1.048014089969297874e-01,4.726610448587598157e-01,1.959412122817163482e-01,7.066168878813874343e-01,5.113936270885632851e-01,4.665545766549528822e-02
8.180570546852891090e-01,8.441810142084421598e-01,2.431271373466228902e-01,1.393159445728041623e-01,8.030702296249631056e-01,5.323333394319283984e-01,9.104438157060515957e-01,1.480205668587306622e-01,4.734162166038283770e-01,9.544986732849396471e-01
2.811999283133532757e-01,7.248155217091251101e-01,7.366632379062798552e-01,9.371875556073181457e-01,3.730643526885620287e-01,2.106239704675955116e-01,2.645213663786268876e-01,3.611005568830268908e-01,8.841663989659308553e-01,9.688360685046015774e-02
3.900243499490644306e-01,2.348504938047399071e-01,4.336510665693151245e-01,1.656208396295794083e-01,5.655805917938061533e-01,8.597551715332644173e-01,4.769003854467683823e-01,3.022547274273444939e-01,5.386098793694815701e-01,8.305677092415745255e-01
4.120266361983924153e-01,6.524845829506669137e-01,4.400252556295070616e-01,6.184908777236699517e-01,9.451745397990152231e-02,4.358872482213947963e-01,4.891780171156681067e-01,6.630460589098172708e-01,5.903552205114460244e-02,2.793715611150165978e-01
